Original_Venture_Name,Year_Foundation,Alternative_Name
PIXEVIA,2015,
KapeIQ,2015,
Slice Labs Inc.,2015,
UF7,2015,
Genoplan Inc.,2015,
Iris Automation Inc.,2015,
Blue J Legal Inc.,2015,
"CipherTrace, Inc.",2015,
AImotive Kft,2015,
Emedgene Technologies Ltd.,2015,
MDOTM S.r.l.,2015,
"GliaCloud Co., Ltd.",2015,
Anyvision Group,2015,
"Beijing Horizon Robotics Technology Co., Ltd.",2015,
"Qordoba, Inc.",2015,
Klue Labs Inc.,2015,
Flowcast Inc.,2015,
"Monument Labs, Inc.",2015,
"Tempus Labs, Inc.",2015,
PlayWerk,2015,
"CAVU Biotherapies, Inc.",2015,
"GreenPath Food, Inc.",2015,
Iris AI AS,2015,
Arkera Inc,2015,
CareClever SAS,2015,
Cloud Spot Inc.,2015,
"Comma.ai, Inc.",2015,
Yuce Biological Technology,2015,
CybeReady Learning Solutions Ltd.,2015,
Trendy Butler Inc.,2015,
MoBerries GmbH,2015,
"RapportBoost.AI, Inc.",2015,
Agremo Ltd.,2015,
"Carbon Health Medical Group, Inc.",2015,
"Scoutible, Inc.",2015,
GrabJobs Pte Ltd.,2015,
GROUND Inc.,2015,
"tripla, K.K.",2015,
Traydstream Limited,2015,
Zesty.ai,2015,
"Myra Labs, Inc.",2015,
"Esquify, Inc.",2015,
"Chengdu Kaola Youran Technology Co., Ltd.",2015,
RailVision,2015,
ADASWorks GmbH,2015,
Fintec Labs,2015,
Olono,2015,
dristi.ai,2015,
SkillGigs,2015,
Craft ai,2015,
Huiling Technology (Hitbot),2015,
"boostr, inc.",2015,
"Elemental Machines, Inc.",2015,
parlamind GmbH,2015,
Airwallex Pty Ltd,2015,
BlazingDB Inc.,2015,
Shift One Inc.,2015,
Nova Leah Ltd,2015,
AudioBurst,2015,
Vaultedge Software Private Limited,2015,
YellowDog Limited,2015,
Neurable Inc.,2015,
"Mathpresso, Inc.",2015,
MoQuality Inc,2015,
"Humans Net, Inc.",2015,
Biofourmis Singapore Pte. Ltd.,2015,
"Nauto, Inc.",2015,
Neotas Limited,2015,
WeLoveDevs.com,2015,
"Conectric Networks, LLC",2015,
"Kittyhawk.io, Inc.",2015,
Shield AI Inc,2015,
"Alitheon, Inc.",2015,
"Smartvid.io, Inc.",2015,
"Stratifyd, Inc.",2015,
Demiurge Technologies AG,2015,
Medicus AI GmbH,2015,
Focal Systems,2015,
"Glympse Bio, Inc.",2015,
Ricult Inc.,2015,
Ojo Labs Inc.,2015,
ACOINFO,2015,
SP Control Technologies SL,2015,
CTRL-Labs Corporation,2015,
Lexplore AB,2015,
Loci Inc.,2015,
Santiyundong,2015,
"Astro Technology, Inc.",2015,
SmartCoin Financials Pvt Ltd.,2015,
"Spotad, Inc.",2015,
"Quinncia, Inc.",2015,
"Currant, Inc.",2015,
"Lendbuzz Funding, LLC",2015,
NearGroup Inc.,2015,
Elmodis Sp. z o.o.,2015,
"BioAge Labs, Inc.",2015,
"Teckro, Inc.",2015,
PandaScore SAS,2015,
Bankingly,2015,
"UJET, Inc.",2015,
"Preteckt, Inc.",2015,
Zebi Data India Pvt. Ltd.,2015,
PetaGene Ltd,2015,
"Zume Pizza, Inc.",2015,
Yaypay Inc.,2015,
Comtravo GmbH,2015,
Hummingbird Technologies Limited,2015,
"Pixm, Inc.",2015,
"Metadata Software, LLC",2015,
"rMark Bio, Inc.",2015,
Graphus,2015,
Healcloud,2015,
iRecruit Australia PTY LTD,2015,
Robot Robots Company,2015,
Ambiverse,2015,
Milkshake Solutions,2015,
Latent Space,2015,
"Yewno, Inc.",2015,
Zyl,2015,
BenchSci Analytics Inc.,2015,
"Telepathic, Inc.",2015,
"Boon Logic, Inc.",2015,
Qopius Technology,2015,
"HiberSense, Inc.",2015,
Ably Medical AS,2015,
"Thor Drive, Inc.",2015,
Shoodoo Analytics Ltd.,2015,
Synfioo GmbH,2015,
ZenCity Ltd.,2015,
Ponddy Education Inc.,2015,
Unbotify Ltd.,2015,
Konsileo Limited,2015,
Pixyl SAS,2015,
Higia Technologies,2015,
CloudSEK Info Security Pvt. Ltd,2015,
Pypestream Inc.,2015,
B12,2015,
Rateboard GmbH,2015,
"Sift Media, Inc.",2015,
Enerbrain S.r.l.,2015,
InstaDeep Ltd,2015,
"AdaSky, Ltd.",2015,
"Buoy Labs, Inc.",2015,
"Zippia, Inc.",2015,
Saleswhale Pte. Ltd.,2015,
Forwardlane Inc.,2015,
Branch International Inc.,2015,
"ENTROPIX, Inc.",2015,
"Openai, Inc.",2015,
"Fracta, Inc.",2015,
"Swim.Ai, Inc.",2015,
"Gestalt Diagnostics, LLC",2015,
Zinier Inc.,2015,
DimensionalMechanics Inc.,2015,
"JASK, Inc.",2015,
Cogent Labs Inc.,2015,
Avrios International AG,2015,
Spontime Inc.,2015,
Steth IO,2015,
Micromoney International,2015,
RiskGenius,2015,
Disperse.io,2015,
GYANA,2015,
Better Therapeutics,2015,
Pricerazzi,2015,
OKRA Technologies,2015,
AutonoMe,2015,
Lendindex,2015,
Moank,2015,
test.ai,2015,
Mandt Media,2015,
WAY2VAT,2015,
XTREME-D Inc.,2015,
Stringbean Technologies LLC,2015,
ThinkGenetic,2015,
"Beijing Trusfort Technology Co., Ltd.",2015,
Uavia SAS,2015,
"Krush Technologies, LLC",2015,
Cozitrip Pty Limited,2015,
Veda,2015,
InsightFinder Inc.,2015,
TechSee Augmented Vision Ltd.,2015,
BirchBioMed Inc.,2015,
Camereyes Ltd,2015,
Viewly Media Ltd.,2015,
Twenty Billion Neurons GmbH,2015,
CamBioScience Limited,2015,
HUUB,2015,
"Aki Technologies, Inc.",2015,
"r4 Technologies, Inc.",2015,
EnduroSat AD,2015,
"Fama Technologies, Inc.",2015,
"dearduck, LLC",2015,
FormHero Inc.,2015,
"Bark Technologies, Inc.",2015,
"Talla, Inc.",2015,
Xineoh Technologies Inc.,2015,
Gemmacert Ltd.,2015,
uLab Systems Inc.,2015,
"Veritonic, Inc.",2015,
Zhuge.com,2015,
"OmniTier Storage, Inc.",2015,
"SelfMade, Inc.",2015,
"PowerScout, Inc.",2015,
Zeitgold GmbH,2015,
"Lumina Analytics, LLC",2015,
KenSci Inc.,2015,
"AICRobo Robotics (Shenzhen) Co., Ltd.",2015,
Syntony GNSS S.A.S.,2015,
Housy GmbH,2015,
"Float, Inc.",2015,
AdHawk,2015,
Supertripper,2015,
"ImpactVision, Inc.",2015,
Loom Systems Ltd.,2015,
Chattermill Limited,2015,
"Krome Photos, Inc.",2015,
BoodsKapper Inc,2015,
Marble,2015,
Crema Co.,2015,
Overcast HQ Limited,2015,
Yawlih,2015,
Gamex,2015,
Impact Analytics Inc.,2015,
Streetbees.com Limited,2015,
Gong I.O Ltd.,2015,
"MyA Health, Inc.",2015,
STELLAR CYBER Inc.,2015,
RainmakerForce,2015,
21:32 Ltd,2015,
IdeaFlow,2015,
CynLr,2015,
Suggestv,2015,
Aerial Insights,2015,
Hanger,2015,
Kaia Health,2015,
Albert,2015,
BJTech,2015,
Theia Tech,2015,
BetaSmartz,2015,
"R2.ai, Inc.",2015,
ThisWay Global Limited,2015,
Cyclops MedTech Pvt. Ltd.,2015,
Apollo Robotic Systems Inc.,2015,
Prifender Ltd.,2015,
"AlpacaDB, Inc.",2015,
"Auro Robotics, Inc",2015,
"Spectrum Effect, Inc.",2015,
Metricstory Incorporated,2015,
"fero labs, Inc.",2015,
Wi-5 Technologies Ltd,2015,
Coviu,2015,
"Paysa, Inc.",2015,
Pozyx NV,2015,
Geoblink SL,2015,
YeeCall Network Limited,2015,
"LinkWiz, Inc.",2015,
SWORD Health Lda.,2015,
Bowery Farming Inc.,2015,
GreenAnt,2015,
SMACC GmbH,2015,
Fluent.ai,2015,
"Bigstream Solutions, Inc.",2015,
"Squelch, Inc.",2015,
Bud Financial Limited,2015,
Silk Labs Inc.,2015,
Berri Pro Inc.,2015,
Stampli Inc.,2015,
OMNIUS GmbH,2015,
"Onna Technologies, Inc.",2015,
"Dishcraft Robotics, Inc.",2015,
"One Concern, Inc.",2015,
"Hyphenmark, Inc.",2015,
eero inc.,2015,
"GrayMeta, Inc.",2015,
"UserCare, Inc.",2015,
"Julia Computing, Inc.",2015,
"OK Roger, Inc.",2015,
scoutbee GmbH,2015,
Luden.io,2015,
"Staffjoy, Inc.",2015,
Vivoka SAS,2015,
"Heed, LLC",2015,
AI Samurai Inc.,2015,
Presenso Ltd.,2015,
Braingineers International B.V.,2015,
Perfect Leads,2015,
Mojob,2015,
"OYMotion Technologies, Inc",2015,
HYP3R,2015,
MDacne,2015,
Koofy Development Limited,2015,
People Data Labs,2015,
Fred de la compta,2015,
Opening.io,2015,
Baby Doppler,2015,
Kavenir,2015,
Somatix Ltd.,2015,
"Complete Intelligence Technologies, Inc.",2015,
Quicargo Technologies Ltd.,2015,
CrowdFundMe S.p.A.,2015,
"Whistic, Inc.",2015,
Knowhere Inc.,2015,
"Imagen Technologies, Inc.",2015,
"GROOVE X, Inc.",2015,
Neurensic LLC,2015,
"Onward Method, Inc.",2015,
Adverity GmbH,2015,
"Nexosis, Inc.",2015,
"Converge Industries, Co.",2015,
"Axiverse, Inc.",2015,
Sentiance NV/SA,2015,
"Genialis, Inc.",2015,
"BinaryVR, Inc.",2015,
Artemis,2015,
Paystack Payments Limited,2015,
"Talix, Inc.",2015,
The NAGA Group AG,2015,
"Orderly Health, Inc.",2015,
Ment.io Ltd.,2015,
MindBridge Analytics Inc.,2015,
REVL Inc.,2015,
"Alpha Nodus, Inc.",2015,
IntSights Cyber Intelligence Ltd.,2015,
Pitstop,2015,
"Tellius, Inc.",2015,
Credit Kudos Limited,2015,
Liopa Ltd,2015,
Valossa Labs Oy,2015,
GetAccept Inc.,2015,
"Wantedlab, Inc.",2015,
Virtual Peaker,2015,
Blooma.ai,2015,
Health Invest Finland Oy,2015,
"FRONTEO Healthcare, Inc.",2015,
"Ketos, Inc.",2015,
DeepRadiology Inc.,2015,
Signzy technologies Private Limited,2015,
"Suspect Technologies, Inc.",2015,
TaleSpin LLC,2015,
Shanghai DAISCH Co. Ltd.,2015,
"6 River Systems, Inc.",2015,
Klydo,2015,
Avanseus,2015,
Acer Innovation,2015,
YoloData INC.,2015,
Match2One,2015,
"miup, Inc.",2015,
Nanyan Insurtech,2015,
Changing Study,2015,
Unelma Platforms,2015,
"SOFIA Labs, LLC",2015,
Chelfie,2015,
SmartBeings Inc.,2015,
Knot,2015,
On the dot,2015,
ChurnSpotter,2015,
Deepdraw,2015,
Lily AI,2015,
QbitLogic,2015,
Particle Media Inc.,2015,
Samoyed Financial,2015,
"CAPTIVE8, INC.",2015,
Foodvisor SAS,2015,
"Pillo, Inc.",2015,
Mindlytix SA,2015,
FiveAI Inc.,2015,
Hutoma Limited,2015,
StatusToday Ltd,2015,
"Ablacon, Inc.",2015,
Intuition Robotics Ltd.,2015,
"Drift Marketplace, Inc.",2015,
"Platinum Analytics & Technologies Co., Ltd.",2015,
Opcity Inc.,2015,
"Locix, Inc.",2015,
Shumei Times Technology,2015,
Snackable AI,2015,
"DocSynk, Inc.",2015,
"Lilt, Inc.",2015,
"TRNQL, Inc.",2015,
SimplyCredit Inc.,2015,
"Ascent Technologies, Inc.",2015,
Emojot Inc.,2015,
ThoughtRiver Limited.,2015,
"Telepathy Labs, Inc.",2015,
NovuMind Inc.,2015,
"IoTium, Inc.",2015,
"Vertice Pharma, LLC",2015,
Silicon Investing,2015,
Accutar Biotechnology Inc.,2015,
Cypheme SAS,2015,
"Data Enlighten (Beijing) Co., Ltd.",2015,
MOVUS Australia Pty Ltd,2015,
Attest Technologies Ltd.,2015,
YaloChat,2015,
"Trace Genomics, Inc.",2015,
EnsoData,2015,
"365Talents, SAS",2015,
"Rhelixa, Inc.",2015,
"Aural Analytics, Inc.",2015,
"Virtualitics, Inc.",2015,
3DSignals Ltd.,2015,
NexOptic Technology Corp.,2015,
DayTwo Ltd.,2015,
Dunzo Digital Private Limited,2015,
MetroDataTech,2015,
Climber RMS,2015,
RushTix,2015,
Hybrid AI,2015,
SmartWall (SwissPay),2015,
Smart Canvas,2015,
Fineway GmbH,2015,
Health Value Creation,2015,
iUGO Technology,2015,
Bobble AI,2015,
Roome,2015,
PeN Chat,2015,
Terminus Technologies,2015,
BUREA (Better Ideas Holdings),2015,
XXIIGROUP,2015,
App Radar Software GmbH,2015,
"DeepCam, LLC",2015,
"NTXBIO, LLC",2015,
Vitalyze Inc.,2015,
"Atipica, Inc.",2015,
"WellSheet, Inc.",2015,
"IQuity, Inc.",2015,
"Terrene Labs, Inc.",2015,
"Beijing ThreatBook Technology Co., Ltd.",2015,
iRecommend Software LLC,2015,
"Hirebotics, LLC",2015,
CardioMech AS,2015,
"AgriData, Inc.",2015,
Panoply Ltd.,2015,
Cult Fitness Pvt Ltd,2015,
Merkurist Rhein-Main GmbH,2015,
Coder Technologies Inc.,2015,
Stilt Inc.,2015,
MotorLeaf,2015,
Pinduoduo Inc.,2015,
RealBox Data Analytics Private Limited,2015,
DataGrand Tech Inc.,2015,
Uncommon Inc.,2015,
Geek+ Inc.,2015,
Constructor.io Corporation,2015,
"Functionize, Inc.",2015,
"Skycision, Inc.",2015,
"Holded Technologies, S.L.",2015,
"Orbita, Inc.",2015,
PrecisionGx Inc.,2015,
12 Sigma Technologies,2015,
DeepBD Inc.,2015,
"Globality, Inc.",2015,
"Instana, Inc.",2015,
"Lexumo, Inc.",2015,
"Leena AI, Inc",2015,
"mazrica, Inc.",2015,
LodgIQ,2015,
Golden Bees,2015,
Razorthink Inc.,2015,
"Medstack, Inc.",2015,
"Deep Vision, Inc.",2015,
AI inside Inc.,2015,
Palsbots Inc.,2015,
"Terminus Technologies Co., Ltd.",2015,
BetterTradeOff Pte Ltd,2015,
"Earth Eyes Co., Ltd.",2015,
"Feedtrail, Inc.",2015,
"Ark Innovations, Inc.",2015,
Zero Energy Solutions,2015,
Draper and Dash,2015,
Spacenus,2015,
​Brainminer Ltd,2015,
ExecVision,2015,
Cloudin,2015,
Way Trafikkskole,2015,
GNEWS,2015,
Bosco,2015,
Lucid,2015,
AbiliSense,2015,
CloudFabrix Software,2015,
Plantix,2015,
DefinedCrowd Corporation,2015,
CounterCraft SL,2015,
OpenIO,2015,
"My Ally, Inc.",2015,
"Galactic Exchange, Inc.",2015,
StackState B.V.,2015,
"Health2047, Inc.",2015,
BitFusion.io Inc.,2015,
"Clinc, Inc.",2015,
Brennus Analytics - SAS,2015,
CompareEuropeGroup Limited,2015,
Vivacity Labs Ltd.,2015,
Mezi,2015,
Deep Instinct Ltd.,2015,
"Lexigram, Inc.",2015,
"IntelinAir, Inc.",2015,
InVRsion s.r.l.,2015,
BrainWaveBank Limited,2015,
Octopai B.I. Ltd.,2015,
DemandJump LLC,2015,
Current Health Limited,2015,
Parentof Solutions Pvt. Ltd.,2015,
Resolve Digital Health Inc.,2015,
"Regaind, SAS",2015,
"Metro Africa Xpress, Inc.",2015,
Inzura Ltd,2015,
Joblift GmbH,2015,
Delight SAS,2015,
"NightWare, Inc.",2015,
Equalum Ltd.,2015,
"Responsive Capital Management, Inc.",2015,
"Feature Labs, Inc.",2015,
"Verisart, Inc.",2015,
"Aspinity, Inc.",2015,
MotionTag GmbH,2015,
MakerSights Inc.,2015,
"Hachidori Co., Ltd.",2015,
Storygize Inc.,2015,
"GINKAN, Inc.",2015,
Datanomix Inc.,2015,
MessageControl,2015,
ingage.ai,2015,
"SchooLinks, Inc.",2015,
HumanPredictions Software Inc.,2015,
Beemray,2015,
effect.ai,2015,
App Radar,2015,
"NingBo Marvoto Intelligent Technology Co.,Ltd",2015,
Qieon Research,2015,
Biorna Quantics,2015,
"Flo Technologies, Inc.",2015,
Wellthy Therapeutics Private Limited,2015,
Baby Sittor,2015,
Hivemapper Inc.,2015,
GritWorld GmbH,2015,
"CompIQ, Inc.",2015,
"Airlook Technology (Beijing) Co., Ltd.",2015,
AdTriba UG (haftungsbeschränkt),2015,
Kieku Labs Oy,2015,
"VEDA Data Solutions, Inc.",2015,
Mindbreeze GmbH,2015,
"NowRx, Inc.",2015,
"CloudWalk Technology Co., Ltd.",2015,
Eyesover Technologies Inc.,2015,
Pat Inc.,2015,
"Outlier AI, Inc.",2015,
Wisdo Ltd.,2015,
Dooer AB,2015,
"Statsbot, Inc.",2015,
Armis,2015,
Looxid Labs Inc.,2015,
"Nanjing Inossem Software Technology Co., Ltd.",2015,
"Amenity Analytics, Inc.",2015,
"Raptor Maps, Inc.",2015,
"Wade & Wendy, Inc.",2015,
Iluvatar Corex Inc,2015,
Inspectorio Inc.,2015,
"Insight Rx, Inc.",2015,
"WhiteFox Defense Technologies, Inc.",2015,
TheGreenData SAS,2015,
"Beijing Asking Data Technology Co., Ltd.",2015,
"Pieces Technologies, Inc.",2015,
BeeBryte S.A.S,2015,
TestingTime AG,2015,
Semiotic Labs BV,2015,
Baraja Pty Ltd,2015,
Ambyint Inc.,2015,
"Accrualify, Inc.",2015,
"Zya, Inc.",2015,
myfood France SAS,2015,
"A.I. Squared, Inc.",2015,
"VizSense, Inc.",2015,
Dremio Corporation,2015,
"Observa, Inc.",2015,
AI CROSS Inc.,2015,
"Mashang Consumer Finance Co., Ltd.",2015,
"Clarify Health Solutions, Inc.",2015,
Ocean Freight Exchange,2015,
Crystal Apps Ltd.,2015,
Trivi,2015,
CUJO AI,2015,
Paladin.ai,2015,
ParkWise,2015,
Huimei Technology,2015,
Numerai,2015,
Wysa,2015,
pikazo,2015,
Landbot,2015,
HashCash Consultants,2015,
Pioneer Square Labs,2015,
Pinpo,2015,
Intouch.com,2015,
Pioneer Square Labs Holdings LLC,2015,
Dixa ApS,2015,
Botkeeper Inc.,2015,
boomApp,2015,
"Banma Technologies Co., Ltd",2015,
"Health at Scale , Corp.",2015,
DATADOME SAS,2015,
"HireTeamMate, Inc.",2015,
Gorgias Inc.,2015,
"Laserlike, Inc.",2015,
springML Inc.,2015,
"AviSight, Inc.",2015,
"HonestFund Co., LTD.",2015,
Caicloud,2015,
"Pinscriptive, Inc",2015,
SuperUp,2015,
Fluenty Inc.,2015,
Yihang.ai,2015,
Bayuegua,2015,
"Habit Food Personalized, LLC",2015,
"ZenIQ, Inc.",2015,
Next Big Thing AG,2015,
Cognism Limited,2015,
"MoBagel, Inc.",2015,
Biome Makers Inc.,2015,
Airmee,2015,
Univrses AB,2015,
"DropCar, Inc.",2015,
"BizteX, Inc",2015,
"Steppingblocks, Inc.",2015,
"Genoplan Japan, Inc.",2015,
Synapbox Inc.,2015,
Refract Software Ltd,2015,
SecBi LTD.,2015,
"SnappyData, Inc.",2015,
Bon De Visite,2015,
"Chengdu Ghostcloud Technology Co., Ltd.",2015,
Recast.AI,2015,
"Airy:3D, Inc.",2015,
"Netra, Inc.",2015,
"TextRecruit, LLC",2015,
Splitty Travel Ltd.,2015,
"Cinelytic, Inc.",2015,
VuPulse Co.,2015,
Aerial Technologies Inc.,2015,
"WOOM Fertility, S.L.",2015,
"PLANTIO, Inc.",2015,
"Balbix, Inc.",2015,
WhiteHawk Limited,2015,
"ZenBusiness, Inc.",2015,
"SkySeeker,inc",2015,
SenSat Ltd,2015,
Brandzooka,2015,
Alpaca Securities LLC.,2015,
"Rewired Solutions, Inc.",2015,
"ioCurrents, Inc.",2015,
Formation,2015,
aetherAI,2015,
4Quant,2015,
LynxCare,2015,
Playment,2015,
Listaproperty,2015,
Trust Stamp,2015,
Troops.ai,2015,
Mira,2015,
Deep AR,2015,
TuSimple,2015,
Gobbill,2015,
NBD | Nostrum Biodiscovery,2015,
REJOINT,2015,
"ELSA, Corp.",2015,
YeLL inc.,2015,
GrowFitter Private Limited,2015,
Datarisk.Io Solucoes Analiticas E Tecnologias Ltda,2015,
Compound Eye Inc.,2015,
"UnifyID, Inc.",2015,
DAYLI Financial Group Inc.,2015,
"Acalvio Technologies, Inc.",2015,
iCarbonx,2015,
SpaceVR,2015,
Phrasee Ltd.,2015,
"Airspace Systems, Inc.",2015,
Mylo Financial Technologies Inc.,2015,
Cobwebs Technologies Ltd.,2015,
Idein Inc.,2015,
WeFarm Limited,2015,
Cybersprint B.V.,2015,
D-EYE Srl,2015,
"Lendit Co.,Ltd.",2015,
Tillhub GmbH,2015,
Worxogo Solutions Pvt. Ltd,2015,
Ecertic Digital Solutions SL,2015,
Accel Robotics Corp.,2015,
ZipStorm Inc.,2015,
"ZingFront Cloud Technology (Beijing) Co., Ltd.",2015,
"Brilliant Home Technology, Inc.",2015,
H3 Dynamics Holdings Pte. Ltd.,2015,
aircos.Inc.,2015,
Cybsafe Limited,2015,
Artisense Corporation,2015,
Pico Interactive Inc.,2015,
Highr Pattern Ltd.,2015,
Nexar Ltd.,2015,
NotCo,2015,
Skapanê S.A.S.,2015,
Flock Limited,2015,
Skritswap,2015,
Euklid s.r.l.,2015,
Digital Workforce Nordic Oy,2015,
vPhrase Analytics Solutions Pvt. Ltd.,2015,
Antworks Pte. Ltd.,2015,
"Predata, Inc.",2015,
Keatext Inc.,2015,
"Concierge U Co., Ltd.",2015,
"Blackthorn Therapeutics, Inc.",2015,
black.ai,2015,
Wrappup Inc.,2015,
Gizumo inc.,2015,
Protocol 46 Inc.,2015,
Kuaile Zhihui,2015,
Lablup,2015,
WrkRiot,2015,
LENS Immersive,2015,
RapidID,2015,
Paddle HR,2016,
Symaps.io,2016,
"Trovata, Inc.",2016,
Juro,2016,
haus.me,2016,
Intelecy,2016,
weebo,2016,
Legendary AI,2016,
Nethone,2016,
Timekettle,2016,
Dealer Market Exchange,2016,
"Downstream.ai, Inc.",2016,
Ruiyan AI,2016,
"PerceptIn, Inc.",2016,
"TellusLabs, Inc.",2016,
AgricxLab Pvt Ltd,2016,
Zhen Robotics,2016,
eCreditpal,2016,
GetJenny Oy,2016,
Satisfi Labs Inc.,2016,
"Rockset, Inc.",2016,
"Bid Ops, Inc.",2016,
Niramai Health Analytix Private Limited,2016,
WhereTo,2016,
Bambu,2016,
Think Biosolution Limited,2016,
Bllush Visuals Ltd.,2016,
HoloEyes Inc.,2016,
Zelros,2016,
"Datalogue, Inc.",2016,
Brodmann17 Ltd,2016,
Logical Clocks AB,2016,
Xanadu Quantum Technologies Inc.,2016,
"Astraea, Inc.",2016,
"Cushion AI, Inc.",2016,
"Nuro, Inc.",2016,
Kayrros SAS,2016,
Volta Medical,2016,
BlackCurve Solutions Ltd,2016,
Plus One Robotics Inc.,2016,
Vortexa Ltd,2016,
"AgroGraph, Inc.",2016,
Immense Simulations Limited,2016,
KRISTAL.AI,2016,
Umitron PTE. Ltd.,2016,
Verloop,2016,
"POPID, Inc",2016,
Access Fintech Limited,2016,
"ZEDEDA, INC.",2016,
"Autify, Inc.",2016,
"Hangar Technology, Inc.",2016,
understandAI GmbH,2016,
Tigapo,2016,
"Intellimize, Inc.",2016,
Cerevrum,2016,
Plurilock Security Solutions Inc.,2016,
SLAMcore Limited,2016,
Scape Technologies Ltd,2016,
Prevision.io SAS,2016,
Picterra SA,2016,
"Ridge-i Co., Ltd.",2016,
Augmenta,2016,
"Bottomless, Inc.",2016,
Ecoplant Technological Innovation Ltd.,2016,
"Journera, Inc.",2016,
Arctoris Limited,2016,
e-bot7 GmbH,2016,
"RoadBotics, Inc.",2016,
"Duality Technologies, Inc.",2016,
jobpal,2016,
AUTTO,2016,
MO Tecnologias,2016,
Yosh.AI,2016,
Tribal Credit,2016,
Jitjatjo,2016,
Hexa,2016,
LZine,2016,
AlphaLoan,2016,
Stratyfy,2016,
Stratejos,2016,
NextAI,2016,
WikQik,2016,
Axon Intelligence,2016,
DeepVision,2016,
Comet SAS,2016,
Ou E-Agronom,2016,
"Frase, Inc.",2016,
Risalto Health Inc.,2016,
"Octane AI, Inc.",2016,
"Inspirit IoT, Inc.",2016,
Clinspec Diagnostics Limited,2016,
Oval Money LTD,2016,
Vence Corp,2016,
"Sigma Ratings, Inc.",2016,
Intelligent Industrial Internet Systems Pvt Ltd,2016,
AlphaICs India Private Limited,2016,
"Deftr, Inc.",2016,
Neutrino srl,2016,
Payr AS,2016,
FINAEO Inc.,2016,
JobHop Ltd.,2016,
ServiceDock,2016,
Chili Piper Inc,2016,
Riminder SAS,2016,
Imperative Execution Inc.,2016,
Imsight Medical Technology Co. Ltd.,2016,
abracar GmbH,2016,
"Capsule8, Inc.",2016,
"Jointer, Inc.",2016,
"Suplari, Inc.",2016,
"ThirdEye, LLC.",2016,
HYPERLAB,2016,
"Day Zero Diagnostics, Inc.",2016,
Eyeware Tech SA,2016,
Webot Inc.,2016,
Visage Inc,2016,
"ServiceAide, Inc.",2016,
"Enodo Score, LLC",2016,
Kami,2016,
"ThreatSwitch, Inc.",2016,
Game of Whales Ltd.,2016,
Earth AI Pty Ltd.,2016,
Vention Inc.,2016,
"Odeza, LLC",2016,
Yomob,2016,
"Agile Stacks, Inc.",2016,
"Signature Medical, Inc.",2016,
"Clearcover, Inc.",2016,
"Adok, Inc",2016,
Lalilo,2016,
LILI SMART sas,2016,
Cell Mogrify Ltd.,2016,
"EmbodyMe, Inc.",2016,
"DataCloud International, Inc.",2016,
"Wyebot, Inc.",2016,
Young Alfred LLC,2016,
Wikaya,2016,
AIAR EdTech AB,2016,
Cortico,2016,
Fabby,2016,
Ling,2016,
SKETCHAR,2016,
CASHe,2016,
Mindsay,2016,
Cambridge Spark,2016,
Sage Digital,2016,
ImageBiopsy Lab,2016,
Crossing Minds,2016,
Convious,2016,
Serenus.AI,2016,
Zorachka,2016,
Water Pigeon Inc,2016,
OptaCredit,2016,
Loktra,2016,
Augment CXM,2016,
MyCredit,2016,
Innodem Neurosciences,2016,
CastBox,2016,
Kensee Solutions Ltd,2016,
MagicWeaver Inc.,2016,
Vue.ai,2016,
"SOS Lab. Co., Ltd.",2016,
Deep Sentinel Corp.,2016,
MedaSync LLC,2016,
Aiva Technologies SARL,2016,
"Emerada Co., Ltd.",2016,
"Tala Security, Inc.",2016,
Voicea,2016,
"Clusterone, Inc.",2016,
ZIGHRA INC.,2016,
"Alpha Vertex, Inc.",2016,
"Orain Technologies, S.L.",2016,
Astool Inc.,2016,
ifesca GmbH,2016,
"justInCase, Inc.",2016,
"FLATLAY, Inc.",2016,
Synapse Technology Corporation,2016,
Training Calendar,2016,
AiCare Corp,2016,
"Sqrrl Data, Inc.",2016,
Flexciton Ltd.,2016,
Sagacito Technologies Private Limited,2016,
MRIguidance B.V.,2016,
Medint Medical Intelligence Ltd.,2016,
Sayata Labs Ltd.,2016,
Adarga Limited,2016,
Market Beyond,2016,
EquitySim Limited,2016,
Harbr Inc.,2016,
"Noodle Analytics, Inc.",2016,
Aerospacelab SA,2016,
Pulsifi Pte. Ltd.,2016,
Overbond Ltd,2016,
Scooterson Inc.,2016,
Unleash live Pty Ltd.,2016,
Brolly UK Technology Limited,2016,
Aiir Innovations B.V.,2016,
Vic.ai Inc,2016,
"Quisitive Technology Solutions, Inc.",2016,
"IIOT-OXYS, Inc.",2016,
"Cover Financial, Inc.",2016,
"Evensi, Inc.",2016,
Fyle,2016,
Pruvo,2016,
Apptest.ai,2016,
Wind Power LAB,2016,
VoiceOps,2016,
Pathwise Robotics,2016,
Jiminny,2016,
envision.ai,2016,
CoPilot AI,2016,
Third Insight,2016,
Cobiro,2016,
Prodoscore,2016,
Amplify.ai,2016,
Precious,2016,
Aurora Labs Ltd,2016,
ATN.io,2016,
OpenMartech,2016,
"Rhombus Systems, Inc",2016,
SafeGraph Inc.,2016,
"VLCTY, Inc.",2016,
"RightHook, Inc.",2016,
Lucidya LLC,2016,
techspert.io Ltd,2016,
Exceed.ai,2016,
"VoiceAI Technologies Co., Ltd.",2016,
Cartesiam SAS,2016,
"Scale AI, Inc.",2016,
Joy Familytech Inc.,2016,
Axyon AI SRL,2016,
